,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,299.6547626654307,1.2600839932759602,0.397904993909866,0.9803898532721851,0.6,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.6}",11,0.3942715183399094,0.9817278175705306,0.4023677287342882,0.9801213184243222,0.39707602339181286,0.9793204238217026,0.39779906444534724,0.229539245847887,0.003357018258625575,0.001000989306923128
1,314.95680594444275,0.8704463640848795,0.396394640682095,0.9821193991131709,0.6,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.6}",16,0.39164109308782696,0.98209326121912,0.40251388482899736,0.9828254037857195,0.3950292397660819,0.981439532334673,4.434659275032267,0.004779329679930882,0.004542813268543241,0.0005660814498730154
2,329.26866062482196,0.9266802469889323,0.3994640682095006,0.9812668984360099,0.6,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.6}",5,0.39997077305275464,0.9822394386785558,0.39827535808243203,0.9828984871738654,0.40014619883040936,0.9786627694556084,1.416215286567577,0.08998944853190871,0.0008436210205955087,0.0018609499437505252
3,339.69439029693604,0.8716110388437907,0.4004872107186358,0.9769062544672313,0.6,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.6}",2,0.40303960251351745,0.9767577839497149,0.39681379713534054,0.9780019001680917,0.4016081871345029,0.9759590792838875,2.378443483998285,0.0236917578631798,0.002662510112395295,0.000840560095874166
4,343.0779580275218,0.9503026803334554,0.39844092570036543,0.981437333775513,0.7,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.7}",7,0.3957328657021774,0.9823856161379915,0.39944460684010524,0.9812906526346561,0.40014619883040936,0.9806357325538911,1.74608375814613,0.0924268557040998,0.0019364650887650804,0.0007218770242861067
5,361.7280054092407,0.8741739590962728,0.3980024360535932,0.9840194461683639,0.7,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.7}",10,0.3961712699108578,0.9844321005700921,0.39637532885121307,0.982533070233136,0.4014619883040936,0.9850931677018634,2.6787752135259857,0.004891228269858045,0.002447244432765192,0.001085122882072333
6,377.6966223716736,0.8616559505462646,0.3968818514007308,0.982435990547383,0.7,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.7}",14,0.3948560572848166,0.98209326121912,0.3934522069570301,0.9816560695753855,0.4023391812865497,0.9835586408476434,3.5191514936485415,0.002354624623209117,0.0039005499604806877,0.00081365099227452
7,392.0156452655792,0.8428666591644287,0.3977101096224117,0.9781000833368797,0.7,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.7}",12,0.395294461493497,0.9804853091653267,0.3995907629348144,0.9787327340495505,0.39824561403508774,0.9750822067957617,0.9225611609557629,0.015341278690760338,0.0017944560384066497,0.0022507130717740534
8,389.6793286005656,0.8759251435597738,0.39902557856272836,0.9827771157921407,0.8,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.8}",6,0.3971942130644454,0.9836281245431955,0.4006138555977784,0.9818022363516773,0.3992690058479532,0.9829009864815491,1.7499208854353265,0.008159532100497384,0.0014067151409755513,0.0007505441949022896
9,415.1215136051178,0.8694573243459066,0.40038976857490866,0.9844092491634693,0.8,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.8}",3,0.39997077305275464,0.9850168104078351,0.3987138263665595,0.9833369875027407,0.40248538011695906,0.984873949579832,1.8033903096293047,0.0070850653359689104,0.0015679103412302975,0.0007604433381678156
10,430.53817431132,0.8696757157643636,0.39965895249695493,0.9843361675550666,0.8,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.8}",4,0.39924009937162064,0.9849437216781173,0.3966676410406314,0.9832639041145947,0.40307017543859647,0.9848008768724881,2.203661046120532,0.016212974395754694,0.0026304283282907763,0.000760444091284111
11,451.2553749879201,0.8569307327270508,0.39834348355663823,0.9796103451967427,0.8,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.8}",8,0.3942715183399094,0.9819470837596842,0.4013446360713242,0.978440400496967,0.39941520467836256,0.9784435513335769,4.2884261165300765,0.006299132313718514,0.0029855090960228636,0.0016523241844134404
12,439.1777217388153,1.0026123523712158,0.39649208282582216,0.984506747085788,0.9,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.9}",15,0.3933947099225486,0.9851629878672709,0.39988307512423266,0.9845063217130746,0.3961988304093567,0.9838509316770186,7.907287803088686,0.08331311551164286,0.0026571258658297956,0.0005356447811135311
13,455.4859224160512,0.8722426096598307,0.4010718635809988,0.9855298646823325,0.9,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.9}",1,0.39967850358030105,0.9863324075427569,0.4007600116924876,0.9847986552656581,0.4027777777777778,0.9854585312385824,1.0635009797700816,0.008661456304760154,0.001284331357672538,0.0006281800999842423
14,472.2983696460724,0.7424560387929281,0.39805115712545674,0.9849695426794894,0.9,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.9}",9,0.395294461493497,0.9852360765969888,0.3976907337035954,0.9844332383249288,0.40116959064327484,0.985239313116551,4.363015653852922,0.09031793595920597,0.0024119854761184703,0.00037922674774274747
15,438.85543433825177,0.6852764288584391,0.39702801461632153,0.9803167253787457,0.9,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.9}",13,0.39734034780067223,0.9813623739219413,0.3954983922829582,0.9795366513191551,0.39824561403508774,0.9800511508951406,24.81905462099497,0.049681920492436145,0.0011430393249057225,0.0007686408395506132
